TimestampArrivee,NumeroSerie,TimestampDepart
2025-10-27T21:07:09.466021,RW-48v2710127,2025-11-13T11:14:28.017770
2025-10-27T21:07:37.169062,RW-48v2710069,2025-11-13T11:14:28.017770
2025-10-27T21:07:54.358236,RW-48v2710160,2025-11-13T11:14:28.017770
2025-10-27T21:08:07.536920,RW-48v2710049,2025-11-13T11:14:28.017770
2025-10-27T21:08:17.911113,RW-48v2710051,2025-11-13T11:14:28.017770
2025-10-27T21:08:27.300847,RW-48v2710080,2025-11-13T11:14:28.017770
2025-10-27T21:08:38.501881,RW-48v2710223,2025-11-13T11:14:28.017770
2025-10-27T21:08:53.536026,RW-48v2710126,2025-11-13T11:14:28.017770
2025-10-27T21:09:05.495843,RW-48v2710081,2025-11-13T11:14:28.017770
2025-10-27T21:09:20.584137,RW-48v2710099,2025-11-13T11:14:28.017770
2025-12-02T21:00:13.049394,RW-48v2710354,2025-12-02T21:00:31.263649
2025-12-02T21:01:32.041283,RW-48v2710354,2025-12-02T21:01:47.217335
2025-12-03T11:49:35.553245,RW-48v2500371,2025-12-03T11:49:54.940514
2025-12-03T11:50:20.051793,RW-48vXXX0368,
2025-12-03T11:53:01.926241,RW-48v2500371,
